City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Parys,FR,2020-11-13 08:10:39,48.85,2.35,54.0,93,90,6.93
237,Meulaboh,ID,2020-11-13 08:14:19,4.14,96.13,83.37,79,96,7.2
238,Narsaq,GL,2020-11-13 08:14:19,60.92,-46.05,17.6,67,100,4.45
239,Candido De Abreu,BR,2020-11-13 08:14:19,-24.57,-51.33,62.71,93,100,1.54
240,Boende,CD,2020-11-13 08:14:19,-0.22,20.87,76.48,94,100,1.16
241,Adre,TD,2020-11-13 08:14:20,13.47,22.2,77.9,19,49,20.15
242,Port-Gentil,GA,2020-11-13 08:14:07,-0.72,8.78,80.6,78,75,8.05
243,Beloha,MG,2020-11-13 08:14:20,-25.17,45.05,80.38,41,39,12.01
244,Presidente Bernardes,BR,2020-11-13 08:14:20,-22.01,-51.55,71.6,73,0,1.9
245,Wajir,KE,2020-11-13 08:14:20,1.75,40.06,80.6,78,75,5.82
246,Oak Ridge,US,2020-11-13 08:14:20,36.01,-84.27,50.0,93,20,1.5
247,Abalak,RU,2020-11-13 08:14:20,58.13,68.59,24.28,97,90,3.4
248,Gladstone,AU,2020-11-13 08:14:20,-23.85,151.25,77.0,61,40,12.75
249,Gotsu,JP,2020-11-13 08:09:22,35.0,132.22,62.6,67,20,4.7
250,Ust-Kuyga,RU,2020-11-13 08:14:21,70.02,135.6,-7.38,88,71,5.61
251,Nara,JP,2020-11-13 08:14:21,34.69,135.8,62.01,77,75,2.24
252,Abilene,US,2020-11-13 08:13:55,32.45,-99.73,55.4,54,75,10.29
253,Kaitangata,NZ,2020-11-13 08:14:21,-46.28,169.85,57.99,85,0,4.79
254,Portland,US,2020-11-13 08:14:04,45.52,-122.68,46.4,93,90,11.41
255,Qaqortoq,GL,2020-11-13 08:14:21,60.72,-46.03,17.6,67,100,3.74
256,Hamilton,US,2020-11-13 08:12:24,39.18,-84.53,41.0,65,1,2.91
257,Ust-Ilimsk,RU,2020-11-13 08:14:21,58.0,102.66,31.89,95,99,16.17
258,Guerrero Negro,MX,2020-11-13 08:14:22,27.98,-114.06,62.1,77,0,9.55
259,Guarapari,BR,2020-11-13 08:14:22,-20.67,-40.5,77.0,69,75,9.17
260,Sakaraha,MG,2020-11-13 08:14:22,-22.9,44.53,83.07,32,0,8.9
261,Tari,NG,2020-11-13 08:14:22,12.41,4.49,81.73,22,0,14.9
262,Magadi,IN,2020-11-13 08:14:22,12.97,77.23,84.0,63,69,11.72
263,Koratla,IN,2020-11-13 08:14:22,18.82,78.72,86.13,53,46,5.97
264,Moerai,PF,2020-11-13 08:14:22,-22.43,-151.33,76.8,85,53,9.4
265,Xichang,CN,2020-11-13 08:14:22,27.9,102.26,73.99,44,11,4.5
266,Puerto Madryn,AR,2020-11-13 08:10:18,-42.77,-65.04,64.89,45,94,15.93
267,Tars,TR,2020-11-13 08:14:23,36.92,34.88,68.0,34,0,8.05
268,Ipixuna,BR,2020-11-13 08:14:23,-1.76,-48.8,75.2,94,0,2.24
269,Broken Hill,AU,2020-11-13 08:14:23,-31.95,141.43,78.8,22,0,14.99
270,Mabaruma,GY,2020-11-13 08:14:23,8.2,-59.78,72.21,99,29,1.34
271,Atasu,KZ,2020-11-13 08:14:23,48.68,71.64,27.14,88,100,16.08
272,Lompoc,US,2020-11-13 08:14:24,34.64,-120.46,51.8,87,90,4.7
273,Praya,CV,2020-11-13 08:14:24,14.92,-23.51,75.2,69,0,6.93
274,Mount Isa,AU,2020-11-13 08:14:24,-20.73,139.5,100.4,22,36,9.17
275,Asau,RO,2020-11-13 08:14:24,46.43,26.4,42.01,100,75,1.12
276,Urdoma,RU,2020-11-13 08:14:24,61.75,48.54,25.83,96,100,2.53
277,Guanica,PR,2020-11-13 08:14:24,17.97,-66.91,73.0,92,98,9.24
278,Kununurra,AU,2020-11-13 08:10:53,-15.77,128.73,105.8,28,0,9.17
279,Deputatskiy,RU,2020-11-13 08:14:24,69.3,139.9,-17.66,90,47,2.1
280,Iracoubo,GF,2020-11-13 08:14:25,5.48,-53.2,78.96,86,25,8.25
281,Fallon,US,2020-11-13 08:14:25,39.47,-118.78,33.01,79,40,5.82
282,Te Anau,NZ,2020-11-13 08:14:25,-45.42,167.72,51.94,72,11,6.78
283,Upernavik,GL,2020-11-13 08:14:25,72.79,-56.15,14.7,93,100,23.22
284,Lasa,IT,2020-11-13 08:14:25,46.62,10.7,30.2,86,5,1.32
285,Omsukchan,RU,2020-11-13 08:14:25,62.53,155.8,-10.73,86,100,3.36
286,Codrington,AU,2020-11-13 08:14:25,-38.27,141.97,57.22,82,100,9.82
287,Manggar,ID,2020-11-13 08:14:26,-2.88,108.27,85.17,68,72,4.72
288,Bilma,NE,2020-11-13 08:14:26,18.69,12.92,77.9,24,0,12.68
289,Matagami,CA,2020-11-13 08:14:26,49.75,-77.63,32.0,97,90,5.1
290,Lovozero,RU,2020-11-13 08:14:26,68.0,35.01,30.6,92,100,2.04
291,Belaya Gora,RU,2020-11-13 08:14:26,68.53,146.42,-19.44,88,47,0.51
292,West Wendover,US,2020-11-13 08:14:26,40.74,-114.07,21.2,67,1,5.82
293,Santa Rosa,PH,2020-11-13 08:14:26,14.31,121.11,90.0,66,96,9.17
